gvkey,datadate,ticker,cusip,conm,saleq,revtq,cogsq,xsgaq,oiadpq,txtq,piq,atq,gross_margin,marketing_effi,roic,adj_price,rev_growth_yoy
174057,2011-01-31,PFGY,71372V201,PERFECTENERGY INTL LTD,8.271,8.271,7.034,1.459,-0.701,-0.113,-0.698,19.406,0.1495586990690364,5.668951336531871,0.8417110696956511,,-0.5226525076470249
029407,2011-01-31,MSD.1,61945Q102,MOSAID TECHNOLOGIES INC,20.211,20.211,5.775,2.595,8.441,2.034,9.331,225.186,0.7142645094255603,7.788439306358382,0.7074273850395327,,0.1426390773405699
166689,2011-01-31,VRGY,Y93691106,VERIGY LTD,120.0,120.0,58.9,51.5,4.6,0.0,-5.0,780.0,0.5091666666666667,2.3300970873786406,-0.92,13.34,0.13207547169811318
065286,2011-02-28,AEHR,00760J108,AEHR TEST SYSTEMS,4.242,4.242,2.497,2.525,-0.92,-0.004,-0.95,12.562,0.41136256482791134,1.68,0.9643434903047091,1.7899,0.729311047696698
007343,2011-02-28,MU,595112103,MICRON TECHNOLOGY INC,2257.0,2257.0,1319.0,332.0,103.0,35.0,110.0,14398.0,0.4155959237926451,6.798192771084337,0.6384297520661157,11.13,0.15094339622641506
009799,2011-02-28,SODI,834256208,SOLITRON DEVICES INC,2.243,2.243,1.462,0.344,0.378,0.003,0.356,11.712,0.3481943825234062,6.520348837209302,1.052850018937003,,0.13512145748987847
009999,2011-02-28,SMSC,853626109,STANDARD MICROSYSTEMS CORP,101.211,101.211,43.927,45.431,4.718,1.303,2.975,539.092,0.5659859106223631,2.2277959983271334,0.8912925358378646,26.53,0.21957126848136488
015293,2011-02-28,FSII.1,302633102,FSI INTL INC,30.753,30.753,17.192,8.129,4.92,-0.001,4.919,108.207,0.44096510909504766,3.7831221552466476,1.000406628032802,,0.6249933949801849
023496,2011-02-28,GND.,37232H104,GENNUM CORP,30.65,30.65,7.235,15.246,6.598,1.669,6.13,195.499,0.7639477977161501,2.0103633739997377,0.7832918095957889,,-0.014025606382294331
007772,2011-02-28,NSM.2,637640103,NATIONAL SEMICONDUCTOR CORP,343.9,343.9,95.1,128.7,100.0,20.3,79.7,2172.2,0.723466123873219,2.672105672105672,0.9351252894716542,,-0.04973749654600723
185380,2011-02-28,LEDS,816645204,SEMILEDS CORP,9.957,9.957,5.974,2.936,-0.607,-0.219,-1.387,190.213,0.400020086371397,3.391348773841962,0.36853489166318826,156.5,0.29580947423217085
112095,2011-03-31,MIPS,604567107,MIPS TECHNOLOGIES INC,20.048,20.048,15.674,,4.073,0.845,4.21,123.109,0.21817637669592976,,0.7732773455351752,10.49,0.14527277920594117
114370,2011-03-31,IXYS,46600W106,IXYS CORP,96.761,96.761,62.151,18.142,12.114,-6.067,9.867,325.189,0.35768543111377515,5.333535442619336,1.9826320651469038,13.43,0.2638419038413813
114698,2011-03-31,EMAN,29076N206,EMAGIN CORP,5.441,5.441,3.161,2.673,-0.427,-0.158,-3.497,33.288,0.4190406175335416,2.035540591096147,0.11658777910785739,7.15,-0.08199763792812553
138961,2011-03-31,OIIM,67107W100,O2MICRO INTERNATIONAL LTD,31.076,31.076,12.534,16.069,2.473,0.359,3.538,197.13,0.5966662376110181,1.9339100130686415,0.6280568940432248,7.6,-0.09641777157478493
064915,2011-03-31,INTT,461147100,INTEST CORP,11.704,11.704,6.433,3.778,1.389,0.06,1.317,23.204,0.4503588516746411,3.0979354155637906,1.0066209702108229,3.68,0.22825060342113557
141278,2011-03-31,MOSY,619718307,MOSYS INC,3.539,3.539,8.623,,-6.02,0.018,-6.011,70.063,-1.4365640011302627,,1.004496248642586,48080.0,-0.003098591549295704
110760,2011-03-31,AXTI,00246W103,AXT INC,24.566,24.566,13.091,4.195,6.465,0.902,6.189,142.487,0.4671090124562403,5.856019070321811,0.8923533825865116,7.17,0.3178477549487688
061814,2011-03-31,BESIY,073320103,BE SEMICONDUCTOR INDUSTRIES,129.177,129.177,75.897,30.19,19.158,3.702,17.247,496.724,0.4124573259945656,4.278800927459423,0.8723726703466561,,0.6880365893498854
141389,2011-03-31,CSCD,147322101,CASCADE MICROTECH INC,27.013,27.013,15.061,10.644,0.21,0.103,0.319,86.487,0.44245363343575317,2.5378617061255166,0.4457503365729503,6.18,0.35342452026654647
142814,2011-03-31,SYNA,87157D109,SYNAPTICS INC,142.406,142.406,81.901,43.2,14.416,1.168,14.664,466.31,0.42487676081064,3.296435185185185,0.9047840568542592,27.02,0.22539840980277415
144115,2011-03-31,IMOS.1,G2110R114,CHIPMOS TECHNOLOGIES LTD,152.0,152.0,140.1,9.1,2.8,-0.4,-3.7,1031.2,0.07828947368421052,16.703296703296704,-0.674945215485756,,0.31374243733794294
140904,2011-03-31,ESLRQ,30033R306,EVERGREEN SOLAR INC,35.312,35.312,45.322,14.1,-36.186,0.0,-33.369,373.972,-0.2834730403262347,2.5043971631205673,1.0844196709520812,,-0.5500108317510481
110039,2011-03-31,AMKR,031652100,AMKOR TECHNOLOGY INC,664.95,664.95,461.672,69.62,50.037,3.382,29.148,2701.573,0.3057041882848334,9.551134731399022,1.5174722020293305,6.74,0.029752004683013755
065036,2011-03-31,QUIK,74837P405,QUICKLOGIC CORP,5.547,5.547,1.604,4.41,-0.802,0.064,-0.814,34.293,0.71083468541554,1.2578231292517006,1.0627229865559105,68.60054880439043,0.02173512617424933
066032,2011-03-31,POWI,739276103,POWER INTEGRATIONS INC,76.762,76.762,36.414,24.746,11.677,2.265,12.119,436.973,0.525624658033923,3.1019962822274305,0.7834481641236847,19.165,0.0734893087390045
